subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Response_MotionEstimation
lala 12 0.15 second second 19 1 303 -6.6 -6.48 1.11999726295471 0.25 1
lala 10 0.3 second second 7 1 304 8 8.3 0.99999737739563 -0.25 1
lala 15 0.0375 second first 14 1 305 8 5.956251 1.31999707221985 0 -1
lala 16 0.075 second first 14 1 306 8 6.03125 0.559997797012329 0 -1
lala 15 0.001171875 first second 13 1 307 6.6 5.388985 1.31999707221985 0 -1
lala 15 0.009375 second second 12 1 308 6.6 5.098125 0.359997987747192 0 1
lala 11 0.0375 second second 10 1 309 -6.6 -6.195 0.539997816085815 0 1
lala 17 0.15 first second 14 1 310 8 6.181251 0.459997892379761 0 -1
lala 14 0.15 second first 11 1 311 -6.6 -5.505001 0.479997873306274 0 -1
lala 9 0.075 second second 0 1 312 -8 -6.5 0.699997663497925 -0.25 1
lala 18 0.3 first first 14 1 313 8 6.481251 1.07999730110168 0 1
lala 11 0.15 second second 7 1 314 8 8.150001 0.299998044967651 -0.25 1
lala 8 1.2 second second 5 1 315 6.6 7.98 0.539997816085815 -0.25 1
lala 17 0.009375 second second 4 1 316 6.6 7.048125 0.679997682571411 -0.25 1
lala 12 0.6 first second 23 1 317 8 5.900001 1.69999694824219 0.25 -1
lala 14 0.009375 second first 18 1 318 -6.6 -6.316875 0.539997816085815 0.25 -1
lala 16 0.0375 second first 15 1 319 8 6.4625 0.759997606277466 0 -1
lala 10 0.0375 second second 6 1 320 8 6.0125 1.99999666213989 -0.25 1
lala 15 0.15 second first 11 1 321 -6.6 -5.655001 0.299998044967651 0 -1
lala 13 1.2 first first 23 1 322 8 7.100001 0.459997892379761 0.25 1
lala 14 0.6 second second 23 1 323 8 6.500001 0.439997911453247 0.25 1
lala 18 0.15 first second 9 1 324 -8 -5.787501 1.11999726295471 0 -1
lala 18 0.15 first second 16 1 325 -8 -6.2375 0.659997701644897 0.25 -1
lala 16 0.01875 first second 12 1 326 6.6 5.079375 0.39999794960022 0 -1
lala 15 0.0046875 first first 18 1 327 -6.6 -6.321562 1.89999675750732 0.25 1
lala 13 0.6 first second 20 1 328 6.6 4.77 0.499997854232788 0.25 -1
lala 18 0.01875 second first 4 1 329 6.6 7.029375 0.959997415542603 -0.25 -1
lala 16 0.00234375 second second 18 1 330 -6.6 -6.319218 2.01999664306641 0.25 1
lala 17 0.009375 first second 12 1 331 6.6 5.08875 0.519997835159302 0 -1
lala 18 0.009375 second second 12 1 332 6.6 5.098125 1.27999711036682 0 1
lala 10 0.0375 second second 0 1 333 -8 -6.4625 0.659997701644897 -0.25 1
lala 11 0.01875 first second 6 1 334 8 5.99375 2.07999658584595 -0.25 -1
lala 14 0.3 second first 20 1 335 6.6 5.07 1.79999685287476 0.25 -1
lala 15 0.6 second first 23 1 336 8 5.900002 1.25999712944031 0.25 -1
lala 19 0.0046875 second second 12 1 337 6.6 5.093438 0.319998025894165 0 1
